ID;Последовательность;Число_Фидлера_Графа;Энтропия_Сети;Тип_Шума
FIEDLER_NOISE_11;84.0, 98.0, 22.0, 25.0, 63.0, 28.0, 19.0, 23.0, 89.0, 74.0, 13.0, 39.0, 88.0, 78.0, 89.0, 94.0, 22.0, 89.0, 14.0, 34.0, 43.0, 38.0, 47.0, 80.0, 88.0, 73.0, 93.0, 73.0, 53.0, 70.0, 38.0, 92.0, 78.0, 73.0, 99.0, 68.0, 23.0, 80.0, 38.0, 23.0, 79.0, 62.0, 92.0, 29.0, 88.0, 25.0, 88.0, 29.0, 13.0, 54.0, 84.0, 70.0, 64.0, 38.0, 44.0, 51.0, 28.0, 101.0, 75.0, 90.0, 18.0, 51.0, 55.0, 69.0, 36.0, 13.0, 58.0, 21.0, 94.0, 65.0, 40.0, 93.0, 71.0, 43.0, 68.0, 36.0, 80.0, 77.0, 75.0, 20.0, 59.0, 68.0, 93.0, 47.0, 65.0, 42.0, 26.0, 90.0, 45.0, 19.0, 18.0, 26.0, 71.0, 65.0, 70.0, 82.0, 19.0, 36.0, 38.0, 69.0;"=""0.0216""";"=""2.5825""";Топологический Шум (Visibility)
FIEDLER_NOISE_12;46.0, 32.0, 86.0, 75.0, 35.0, 88.0, 22.0, 15.0, 59.0, 38.0, 33.0, 37.0, 71.0, 18.0, 96.0, 41.0, 40.0, 48.0, 40.0, 99.0, 8.0, 62.0, 47.0, 14.0, 37.0, 73.0, 99.0, 43.0, 47.0, 12.0, 62.0, 82.0, 31.0, 71.0, 34.0, 96.0, 90.0, 62.0, 74.0, 92.0, 18.0, 35.0, 31.0, 98.0, 60.0, 57.0, 100.0, 16.0, 33.0, 86.0, 94.0, 55.0, 36.0, 45.0, 43.0, 80.0, 32.0, 77.0, 85.0, 23.0, 53.0, 54.0, 79.0, 66.0, 82.0, 44.0, 51.0, 48.0, 85.0, 94.0, 43.0, 40.0, 20.0, 17.0, 101.0, 18.0, 71.0, 68.0, 45.0, 100.0, 62.0, 54.0, 8.0, 68.0, 14.0, 74.0, 81.0, 32.0, 35.0, 60.0, 24.0, 71.0, 96.0, 15.0, 38.0, 20.0, 71.0, 33.0, 82.0, 55.0;"=""0.0246""";"=""2.5702""";Топологический Шум (Visibility)
FIEDLER_NOISE_13;98.0, 24.0, 57.0, 75.0, 45.0, 60.0, 68.0, 90.0, 60.0, 37.0, 85.0, 74.0, 86.0, 19.0, 10.0, 47.0, 87.0, 69.0, 15.0, 19.0, 41.0, 60.0, 45.0, 88.0, 23.0, 3.0, 47.0, 17.0, 47.0, 51.0, 21.0, 54.0, 40.0, 83.0, 18.0, 94.0, 17.0, 68.0, 73.0, 38.0, 95.0, 58.0, 98.0, 16.0, 89.0, 66.0, 21.0, 95.0, 53.0, 43.0, 89.0, 43.0, 82.0, 83.0, 53.0, 37.0, 51.0, 13.0, 64.0, 43.0, 39.0, 74.0, 61.0, 74.0, 59.0, 60.0, 60.0, 14.0, 98.0, 20.0, 93.0, 46.0, 85.0, 75.0, 43.0, 47.0, 45.0, 71.0, 41.0, 87.0, 49.0, 29.0, 78.0, 72.0, 66.0, 93.0, 59.0, 18.0, 24.0, 18.0, 94.0, 82.0, 75.0, 49.0, 81.0, 31.0, 56.0, 51.0, 75.0, 51.0;"=""0.0286""";"=""2.5176""";Топологический Шум (Visibility)
FIEDLER_NOISE_14;54.0, 20.0, 22.0, 57.0, 33.0, 32.0, 29.0, 57.0, 26.0, 24.0, 25.0, 66.0, 94.0, 18.0, 36.0, 12.0, 6.0, 73.0, 81.0, 70.0, 72.0, 93.0, 21.0, 84.0, 55.0, 32.0, 50.0, 58.0, 19.0, 97.0, 42.0, 82.0, 85.0, 89.0, 36.0, 48.0, 75.0, 15.0, 54.0, 79.0, 21.0, 95.0, 18.0, 33.0, 42.0, 66.0, 54.0, 73.0, 43.0, 48.0, 73.0, 52.0, 35.0, 91.0, 78.0, 22.0, 50.0, 43.0, 59.0, 85.0, 83.0, 67.0, 15.0, 74.0, 68.0, 62.0, 83.0, 13.0, 11.0, 51.0, 92.0, 75.0, 20.0, 58.0, 39.0, 8.0, 64.0, 30.0, 49.0, 91.0, 85.0, 66.0, 41.0, 89.0, 27.0, 85.0, 13.0, 18.0, 28.0, 75.0, 23.0, 58.0, 75.0, 74.0, 42.0, 79.0, 33.0, 53.0, 59.0, 46.0;"=""0.0216""";"=""2.5699""";Топологический Шум (Visibility)
FIEDLER_NOISE_15;60.0, 49.0, 93.0, 23.0, 72.0, 15.0, 26.0, 10.0, 18.0, 85.0, 72.0, 14.0, 57.0, 95.0, 98.0, 91.0, 47.0, 79.0, 42.0, 67.0, 12.0, 85.0, 29.0, 53.0, 18.0, 27.0, 76.0, 56.0, 21.0, 65.0, 18.0, 25.0, 64.0, 37.0, 74.0, 15.0, 56.0, 79.0, 29.0, 77.0, 80.0, 93.0, 17.0, 84.0, 23.0, 16.0, 45.0, 49.0, 37.0, 55.0, 90.0, 17.0, 95.0, 20.0, 92.0, 54.0, 95.0, 22.0, 74.0, 21.0, 95.0, 27.0, 38.0, 41.0, 39.0, 97.0, 35.0, 45.0, 66.0, 81.0, 25.0, 91.0, 40.0, 71.0, 93.0, 26.0, 87.0, 22.0, 17.0, 62.0, 33.0, 41.0, 40.0, 19.0, 47.0, 78.0, 73.0, 18.0, 45.0, 43.0, 10.0, 72.0, 81.0, 24.0, 94.0, 23.0, 29.0, 63.0, 32.0, 60.0;"=""0.0339""";"=""2.5225""";Топологический Шум (Visibility)
FIEDLER_NOISE_16;27.0, 39.0, 28.0, 42.0, 58.0, 76.0, 23.0, 18.0, 17.0, 101.0, 72.0, 80.0, 13.0, 35.0, 50.0, 34.0, 41.0, 73.0, 78.0, 60.0, 54.0, 77.0, 32.0, 59.0, 61.0, 52.0, 66.0, 43.0, 62.0, 48.0, 85.0, 57.0, 64.0, 94.0, 70.0, 62.0, 39.0, 17.0, 45.0, 46.0, 75.0, 44.0, 61.0, 83.0, 32.0, 67.0, 22.0, 47.0, 8.0, 81.0, 82.0, 89.0, 42.0, 95.0, 50.0, 70.0, 30.0, 47.0, 85.0, 38.0, 91.0, 85.0, 67.0, 79.0, 37.0, 71.0, 74.0, 40.0, 50.0, 98.0, 34.0, 18.0, 54.0, 72.0, 30.0, 66.0, 29.0, 57.0, 17.0, 47.0, 88.0, 26.0, 65.0, 27.0, 62.0, 64.0, 26.0, 95.0, 90.0, 22.0, 61.0, 83.0, 59.0, 34.0, 17.0, 86.0, 58.0, 47.0, 38.0, 68.0;"=""0.0382""";"=""2.5267""";Топологический Шум (Visibility)
FIEDLER_NOISE_17;55.0, 56.0, 61.0, 85.0, 27.0, 27.0, 16.0, 88.0, 16.0, 24.0, 15.0, 85.0, 15.0, 100.0, 88.0, 55.0, 42.0, 49.0, 55.0, 49.0, 21.0, 35.0, 50.0, 13.0, 37.0, 93.0, 45.0, 87.0, 55.0, 34.0, 25.0, 86.0, 73.0, 84.0, 34.0, 29.0, 68.0, 57.0, 78.0, 40.0, 37.0, 99.0, 28.0, 20.0, 19.0, 94.0, 26.0, 84.0, 89.0, 52.0, 58.0, 49.0, 28.0, 10.0, 11.0, 41.0, 1.0, 50.0, 27.0, 47.0, 97.0, 93.0, 52.0, 86.0, 19.0, 86.0, 36.0, 47.0, 32.0, 75.0, 19.0, 93.0, 84.0, 56.0, 44.0, 73.0, 94.0, 15.0, 38.0, 72.0, 10.0, 96.0, 49.0, 14.0, 63.0, 46.0, 40.0, 47.0, 53.0, 33.0, 24.0, 80.0, 94.0, 98.0, 68.0, 83.0, 74.0, 26.0, 56.0, 31.0;"=""0.0481""";"=""2.5777""";Топологический Шум (Visibility)
FIEDLER_NOISE_18;44.0, 76.0, 90.0, 18.0, 47.0, 26.0, 52.0, 31.0, 96.0, 99.0, 87.0, 44.0, 45.0, 76.0, 30.0, 12.0, 44.0, 18.0, 21.0, 27.0, 69.0, 25.0, 79.0, 87.0, 92.0, 29.0, 59.0, 76.0, 27.0, 67.0, 63.0, 61.0, 13.0, 53.0, 42.0, 79.0, 58.0, 39.0, 20.0, 14.0, 28.0, 53.0, 69.0, 28.0, 73.0, 86.0, 94.0, 81.0, 8.0, 51.0, 95.0, 85.0, 88.0, 26.0, 87.0, 11.0, 36.0, 74.0, 56.0, 77.0, 48.0, 65.0, 12.0, 47.0, 9.0, 82.0, 34.0, 55.0, 38.0, 60.0, 32.0, 13.0, 52.0, 68.0, 40.0, 76.0, 74.0, 61.0, 74.0, 34.0, 30.0, 15.0, 88.0, 20.0, 98.0, 19.0, 39.0, 50.0, 43.0, 27.0, 81.0, 51.0, 48.0, 86.0, 37.0, 10.0, 57.0, 67.0, 35.0, 32.0;"=""0.0438""";"=""2.5753""";Топологический Шум (Visibility)
FIEDLER_NOISE_19;59.0, 86.0, 53.0, 14.0, 77.0, 75.0, 57.0, 23.0, 55.0, 94.0, 26.0, 60.0, 67.0, 24.0, 84.0, 32.0, 68.0, 59.0, 23.0, 49.0, 32.0, 99.0, 27.0, 40.0, 62.0, 84.0, 57.0, 89.0, 55.0, 42.0, 59.0, 17.0, 90.0, 93.0, 19.0, 50.0, 47.0, 83.0, 40.0, 40.0, 24.0, 11.0, 14.0, 12.0, 16.0, 71.0, 32.0, 80.0, 85.0, 34.0, 37.0, 41.0, 57.0, 68.0, 70.0, 75.0, 102.0, 88.0, 60.0, 102.0, 67.0, 24.0, 53.0, 95.0, 67.0, 28.0, 88.0, 70.0, 79.0, 71.0, 39.0, 90.0, 76.0, 76.0, 81.0, 51.0, 93.0, 88.0, 41.0, 64.0, 80.0, 35.0, 15.0, 100.0, 12.0, 32.0, 71.0, 21.0, 40.0, 66.0, 97.0, 58.0, 52.0, 29.0, 97.0, 57.0, 53.0, 57.0, 93.0, 60.0;"=""0.0266""";"=""2.5775""";Топологический Шум (Visibility)
FIEDLER_NOISE_20;75.0, 64.0, 11.0, 86.0, 20.0, 52.0, 49.0, 16.0, 53.0, 32.0, 67.0, 71.0, 64.0, 70.0, 72.0, 78.0, 99.0, 68.0, 39.0, 79.0, 27.0, 75.0, 7.0, 53.0, 78.0, 47.0, 73.0, 83.0, 37.0, 94.0, 84.0, 95.0, 99.0, 53.0, 56.0, 61.0, 83.0, 78.0, 53.0, 15.0, 75.0, 31.0, 19.0, 42.0, 90.0, 87.0, 95.0, 92.0, 44.0, 61.0, 38.0, 59.0, 73.0, 67.0, 61.0, 78.0, 91.0, 39.0, 61.0, 85.0, 59.0, 72.0, 76.0, 27.0, 62.0, 44.0, 44.0, 41.0, 71.0, 67.0, 50.0, 22.0, 43.0, 61.0, 73.0, 71.0, 21.0, 50.0, 51.0, 56.0, 84.0, 71.0, 42.0, 77.0, 18.0, 65.0, 29.0, 48.0, 71.0, 70.0, 10.0, 16.0, 88.0, 45.0, 40.0, 99.0, 79.0, 60.0, 89.0, 23.0;"=""0.0305""";"=""2.5696""";Топологический Шум (Visibility)
