ID;Название;Вердикт;Status;Длина_Ряда;Среднее_Значение;Станд_Отклонение;Коэф_Вариации;Асимметрия_Сдвига;Эксцесс_Хвостов;Процентиль_75;Процентиль_95;Коэф_Аномалий_Шага;Энтропия_Шеннона;Энтропия_Перестановок;Приближенная_Энтропия_ApEn;Автокорреляция_Лаг1;Автокорреляция_Лаг2;Автокорреляция_Лаг3;Автокорреляция_Лаг4;Автокорреляция_Лаг5;Энергия_Спектра_Фурье;Главная_Частота_Фурье;Пик_Амплитуды_Фурье;Медианная_Частота_Фурье;Дисперсия_Спектра_Фурье;Спектральная_Энтропия_Фурье;Радиус_Векторного_Облака;Физическая_Длина_Змеи;Доля_Оси_PCA_X;Доля_Оси_PCA_Y;Доля_Оси_PCA_Z;Сила_Ротора_Закрутки;Индекс_Сквозных_Дыр;Коэф_Ветвления_Пирсона;Фрактал_Размерность_GP;Показатель_Херста_Памяти;Девиация_Закона_Бенфорда;Доля_Первых_Единиц_Бенфорда;Бенфорд_Хи_Квадрат;Бенфорд_KL_Дивергенция;Бенфорд_Стат_Вердикт
"=""A000011""";Number of n-bead necklaces (turning over is allowed) where complements are equivalent.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.3238;Успешно;"=""40.0""";"=""181141671.18""";"=""623543890.16""";"=""3.4423""";"=""4.3238""";"=""18.8785""";"=""5718492.5""";"=""972767833.8""";"=""18.99""";"=""5.1719""";"=""-0.0""";"=""0.6178""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.13757990833311e+20""";"=""1.0""";"=""7058357452.16""";"=""10.0""";"=""1475082630.22""";"=""4.2154""";"=""366538081.37""";"=""4068770606.02""";"=""0.9997""";"=""0.0003""";"=""0.0""";"=""126483844920536.27""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6173""";"=""0.0121""";"=""0.3""";"=""6.4831""";"=""0.1709""";Значим (Хи-Квадрат OK)
"=""A000012""";The simplest sequence of positive numbers: the all 1's sequence.;[Класс 11] Сплетенная Нелинейная Стохастика, Херст Памяти=0.5;Успешно;"=""90.0""";"=""1.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""-3.0""";"=""1.0""";"=""1.0""";"=""0.0""";"=""-0.0""";"=""-0.0""";"=""-0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""0.0""";"=""1.0""";"=""0.0""";"=""nan""";"=""0.0""";"=""-0.0""";"=""0.0""";"=""0.0""";"=""nan""";"=""nan""";"=""nan""";"=""0.0""";"=""100000.0""";"=""0.0""";"=""1.0""";"=""0.5""";"=""0.5634""";"=""1.0""";"=""208.9735""";"=""1.732""";Нетипичный ряд
"=""A000013""";Definition (1): Number of n-bead binary necklaces with beads of 2 colors where the colors may be swapped but turning over is not allowed.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.2599;Успешно;"=""39.0""";"=""190797048.0""";"=""647480806.45""";"=""3.3936""";"=""4.2599""";"=""18.2819""";"=""7025242.0""";"=""1044728462.8""";"=""18.49""";"=""5.1316""";"=""-0.0""";"=""0.622""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""3.1882547568430304e+20""";"=""1.0""";"=""7238734803.77""";"=""10.0""";"=""1515587071.68""";"=""4.1426""";"=""384964798.66""";"=""4176352515.94""";"=""0.9997""";"=""0.0003""";"=""0.0""";"=""144501867586629.38""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6175""";"=""0.0081""";"=""0.2821""";"=""5.181""";"=""0.0882""";Значим (Хи-Квадрат OK)
"=""A000014""";Number of series-reduced trees with n nodes.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.4618;Успешно;"=""40.0""";"=""71719779.4""";"=""255552134.67""";"=""3.5632""";"=""4.4618""";"=""20.0991""";"=""1570844.75""";"=""368501118.1""";"=""19.94""";"=""5.0219""";"=""0.3501""";"=""0.5599""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.2729578010806714e+19""";"=""1.0""";"=""2803781915.05""";"=""10.0""";"=""573923868.1""";"=""4.2266""";"=""144391353.83""";"=""1667062505.51""";"=""0.9993""";"=""0.0007""";"=""0.0""";"=""50656497062391.77""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6103""";"=""0.0167""";"=""0.3684""";"=""6.1593""";"=""0.1603""";Значим (Хи-Квадрат OK)
"=""A000015""";Smallest prime power >= n.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9976;Успешно;"=""72.0""";"=""37.56""";"=""21.17""";"=""0.5638""";"=""-0.0292""";"=""-1.2098""";"=""59.0""";"=""71.0""";"=""5.92""";"=""4.734""";"=""-0.0""";"=""1.5662""";"=""0.9976""";"=""0.9968""";"=""0.9963""";"=""0.9967""";"=""0.9965""";"=""1163728.0""";"=""1.0""";"=""842.47""";"=""6.0""";"=""147.1""";"=""4.3942""";"=""30.97""";"=""184.33""";"=""0.9431""";"=""0.0307""";"=""0.0262""";"=""138.99""";"=""0.0083""";"=""-0.3721""";"=""0.0""";"=""0.8041""";"=""0.0408""";"=""0.1528""";"=""23.1635""";"=""0.2299""";Нетипичный ряд
"=""A000016""";a(n) is the number of distinct (infinite) output sequences from binary n-stage shift register which feeds back the complement of the last stage.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.0618;Успешно;"=""36.0""";"=""28125566.69""";"=""91191007.36""";"=""3.2423""";"=""4.0618""";"=""16.4881""";"=""1589300.5""";"=""160774225.0""";"=""16.99""";"=""4.9823""";"=""-0.0""";"=""0.6063""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.441155559346585e+18""";"=""1.0""";"=""980167313.28""";"=""10.0""";"=""204826106.55""";"=""4.0634""";"=""56191320.78""";"=""567191343.16""";"=""0.9996""";"=""0.0004""";"=""0.0""";"=""3468248792252.88""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6179""";"=""0.0073""";"=""0.3333""";"=""4.1912""";"=""0.1194""";Значим (Хи-Квадрат OK)
"=""A000017""";Erroneous version of A032522.;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=4084731.0265;Успешно;"=""19.0""";"=""4251.84""";"=""11633.09""";"=""2.736""";"=""3.2942""";"=""9.9109""";"=""830.0""";"=""21312.0""";"=""11.5""";"=""3.9321""";"=""1.3216""";"=""0.7666""";"=""0.9984""";"=""0.9998""";"=""0.9978""";"=""0.9987""";"=""0.9969""";"=""24426844605.0""";"=""1.0""";"=""76443.25""";"=""5.0""";"=""13121.06""";"=""3.1235""";"=""7837.46""";"=""54015.79""";"=""0.9804""";"=""0.0179""";"=""0.0017""";"=""4084731.03""";"=""0.0""";"=""0.9927""";"=""0.0""";"=""0.5747""";"=""0.0489""";"=""0.3529""";"=""-1.0""";"=""0.5""";Нетипичный ряд
"=""A000018""";Number of positive integers <= 2^n of form x^2 + 16*y^2.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.1664;Успешно;"=""37.0""";"=""260329429.81""";"=""866291566.84""";"=""3.3277""";"=""4.1664""";"=""17.399""";"=""10818417.0""";"=""1458771487.2""";"=""17.73""";"=""5.1013""";"=""-0.0""";"=""0.594""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""5.136906084258835e+20""";"=""1.0""";"=""9353155508.71""";"=""10.0""";"=""1948369980.78""";"=""4.0678""";"=""521421978.32""";"=""5454794214.94""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""164374785075121.06""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6157""";"=""0.0108""";"=""0.3514""";"=""4.5003""";"=""0.1247""";Значим (Хи-Квадрат OK)
"=""A000019""";Number of primitive permutation groups of degree n.;[Класс 10] Турбулентный Динамический Хаос, ротор=863.3419, Херст=0.4868;Успешно;"=""92.0""";"=""9.58""";"=""17.71""";"=""1.8496""";"=""6.5922""";"=""48.4245""";"=""9.25""";"=""22.0""";"=""15.25""";"=""3.6711""";"=""2.5264""";"=""0.9612""";"=""-0.0022""";"=""-0.0231""";"=""-0.0263""";"=""-0.0325""";"=""-0.0987""";"=""1352002.0""";"=""5.0""";"=""258.38""";"=""24.0""";"=""58.54""";"=""5.4208""";"=""16.1""";"=""1925.23""";"=""0.3373""";"=""0.3334""";"=""0.3293""";"=""863.34""";"=""0.1054""";"=""-0.4899""";"=""0.0""";"=""0.4868""";"=""0.0379""";"=""0.2174""";"=""31.4543""";"=""0.2768""";Нетипичный ряд
"=""A000020""";Number of primitive polynomials of degree n over GF(2) (version 2).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=1.1181599678080992e+17;Успешно;"=""37.0""";"=""164489887.27""";"=""620188811.96""";"=""3.7704""";"=""5.0546""";"=""25.5609""";"=""4741632.0""";"=""766330329.6""";"=""26.03""";"=""5.0269""";"=""1.4124""";"=""0.6135""";"=""0.7532""";"=""0.9872""";"=""0.9261""";"=""0.9914""";"=""0.8106""";"=""2.6328208422013587e+20""";"=""1.0""";"=""5903351776.02""";"=""10.0""";"=""847634367.31""";"=""4.1356""";"=""325784685.15""";"=""4783586633.14""";"=""0.8285""";"=""0.158""";"=""0.0135""";"=""1.1181599678080992e+17""";"=""0.0""";"=""-0.3694""";"=""0.0""";"=""0.5823""";"=""0.0226""";"=""0.2973""";"=""11.2527""";"=""0.246""";Значим (Хи-Квадрат OK)
"=""A000021""";Number of positive integers <= 2^n of form x^2 + 12 y^2.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.1663;Успешно;"=""37.0""";"=""311330818.41""";"=""1035980120.52""";"=""3.3276""";"=""4.1663""";"=""17.3982""";"=""12942012.0""";"=""1744596115.6""";"=""17.73""";"=""5.1013""";"=""-0.0""";"=""0.594""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""7.346429175161059e+20""";"=""1.0""";"=""11185503066.47""";"=""10.0""";"=""2330099293.86""";"=""4.0678""";"=""623575722.95""";"=""6523277513.92""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""235881472301034.0""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6157""";"=""0.0051""";"=""0.2973""";"=""3.0271""";"=""0.0562""";Значим (Хи-Квадрат OK)
"=""A000022""";Number of centered hydrocarbons with n atoms.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.5742;Успешно;"=""34.0""";"=""1729662060.97""";"=""6497630517.76""";"=""3.7566""";"=""4.5742""";"=""20.6689""";"=""15672040.75""";"=""8337361061.65""";"=""20.34""";"=""4.83""";"=""0.3998""";"=""0.504""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""2.4745038642912237e+22""";"=""1.0""";"=""57809340003.23""";"=""9.0""";"=""10429837695.97""";"=""4.0319""";"=""3389910192.32""";"=""39142965696.14""";"=""0.9995""";"=""0.0005""";"=""0.0""";"=""2.3872340677892684e+16""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.582""";"=""0.0038""";"=""0.3125""";"=""1.9119""";"=""0.0446""";Значим (Хи-Квадрат OK)
"=""A000023""";Expansion of e.g.f. exp(-2*x)/(1-x).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.4625;Успешно;"=""23.0""";"=""6.929478346237069e+18""";"=""3.0986027606176293e+19""";"=""4.4716""";"=""4.4625""";"=""17.9591""";"=""25484325257216.0""";"=""6.255892164906521e+18""";"=""21.0""";"=""4.4366""";"=""0.7229""";"=""0.3557""";"=""1.0""";"=""1.0""";"=""1.0""";"=""0.9999""";"=""0.9999""";"=""2.539554183514353e+41""";"=""1.0""";"=""1.5908112959247306e+20""";"=""6.0""";"=""4.755407611238885e+18""";"=""3.4587""";"=""1.3778774666644791e+19""";"=""1.522743954889861e+20""";"=""0.9999""";"=""0.0001""";"=""0.0""";"=""1.1467231875698146e+35""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.4926""";"=""0.0345""";"=""0.3043""";"=""-1.0""";"=""0.3823""";Нетипичный ряд
"=""A000024""";Number of positive integers <= 2^n of form x^2 + 10 y^2.;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.166;Успешно;"=""37.0""";"=""370396957.62""";"=""1232424830.08""";"=""3.3273""";"=""4.166""";"=""17.3958""";"=""15414638.0""";"=""2075709667.0""";"=""17.72""";"=""5.1013""";"=""-0.0""";"=""0.594""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0396671733431859e+21""";"=""1.0""";"=""13307481416.73""";"=""10.0""";"=""2772243989.2""";"=""4.0678""";"=""741885788.57""";"=""7760243641.95""";"=""0.9998""";"=""0.0002""";"=""0.0""";"=""338806833148340.6""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6158""";"=""0.008""";"=""0.3243""";"=""4.3946""";"=""0.1138""";Значим (Хи-Квадрат OK)
"=""A000025""";Coefficients of the 3rd-order mock theta function f(q).;[Класс 5] Космический закрученный Аттрактор, ротор закрутки=6065.1238;Успешно;"=""60.0""";"=""10.7""";"=""416.31""";"=""38.9076""";"=""0.1665""";"=""1.8451""";"=""96.25""";"=""774.65""";"=""4.78""";"=""5.8402""";"=""1.1082""";"=""0.7799""";"=""-0.9999""";"=""0.9997""";"=""-0.9998""";"=""0.9998""";"=""-0.9996""";"=""430239938.0""";"=""30.0""";"=""15380.0""";"=""26.0""";"=""3123.1""";"=""4.0339""";"=""425.78""";"=""47212.97""";"=""0.9852""";"=""0.0095""";"=""0.0053""";"=""6065.12""";"=""0.0005""";"=""-0.9999""";"=""0.0""";"=""0.2652""";"=""0.0056""";"=""0.3""";"=""3.2817""";"=""0.0419""";Значим (Хи-Квадрат OK)
"=""A000026""";Mosaic numbers or multiplicative projection of n: if n = Product (p_j^k_j) then a(n) = Product (p_j * k_j).;[Класс 16] Тектонический Сдвиг / Сбой Системы, аномалия шага=6.6838;Успешно;"=""72.0""";"=""31.43""";"=""20.59""";"=""0.655""";"=""0.3713""";"=""-1.0752""";"=""46.25""";"=""67.45""";"=""6.68""";"=""5.7286""";"=""1.8365""";"=""1.4942""";"=""0.782""";"=""0.7191""";"=""0.6678""";"=""0.7107""";"=""0.7084""";"=""1105032.0""";"=""1.0""";"=""688.73""";"=""14.0""";"=""124.53""";"=""4.6566""";"=""31.7""";"=""1168.04""";"=""0.6222""";"=""0.2071""";"=""0.1707""";"=""971.68""";"=""0.0097""";"=""-0.3516""";"=""0.0""";"=""0.7715""";"=""0.0203""";"=""0.2222""";"=""16.0309""";"=""0.1529""";Нетипичный ряд
"=""A000027""";The positive integers. Also called the natural numbers, the whole numbers or the counting numbers, but these terms are ambiguous.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=1.0;Успешно;"=""77.0""";"=""39.0""";"=""22.23""";"=""0.5699""";"=""0.0""";"=""-1.2004""";"=""58.0""";"=""73.2""";"=""1.0""";"=""6.2668""";"=""-0.0""";"=""1.5598""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1464463.0""";"=""1.0""";"=""943.89""";"=""6.0""";"=""161.93""";"=""4.4489""";"=""32.47""";"=""128.17""";"=""1.0""";"=""0.0""";"=""0.0""";"=""2.45""";"=""0.0078""";"=""0.0""";"=""0.0""";"=""0.8073""";"=""0.0444""";"=""0.1429""";"=""27.9331""";"=""0.2576""";Нетипичный ряд
"=""A000028""";Let k = p_1^e_1 p_2^e_2 p_3^e_3 ... be the prime factorization of n. Sequence gives k such that the sum of the numbers of 1's in the binary expansions of e_1, e_2, e_3, ... is odd.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9993;Успешно;"=""67.0""";"=""69.75""";"=""41.04""";"=""0.5885""";"=""-0.0379""";"=""-1.2129""";"=""104.5""";"=""131.7""";"=""3.42""";"=""6.0661""";"=""-0.0""";"=""1.6608""";"=""0.9993""";"=""0.9988""";"=""0.9984""";"=""0.9978""";"=""0.9976""";"=""3780900.0""";"=""1.0""";"=""1520.95""";"=""6.0""";"=""276.16""";"=""4.2659""";"=""59.8""";"=""265.8""";"=""0.9673""";"=""0.0196""";"=""0.0131""";"=""244.75""";"=""0.0043""";"=""-0.1486""";"=""0.0""";"=""0.8006""";"=""0.0252""";"=""0.3881""";"=""11.4979""";"=""0.1335""";Значим (Хи-Квадрат OK)
"=""A000029""";Number of necklaces with n beads of 2 colors, allowing turning over (these are also called bracelets).;[Класс 2] Асимметричный Экспоненциальный Рост, асимметрия=4.1947;Успешно;"=""38.0""";"=""100662267.89""";"=""336577621.47""";"=""3.3436""";"=""4.1947""";"=""17.6821""";"=""4227990.0""";"=""560532448.5""";"=""17.98""";"=""5.2479""";"=""-0.0""";"=""0.5821""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""1.0""";"=""8.25442430300159e+19""";"=""1.0""";"=""3715474537.09""";"=""10.0""";"=""776412645.36""";"=""4.1414""";"=""202475932.71""";"=""2145431347.78""";"=""0.9997""";"=""0.0003""";"=""0.0""";"=""42537268604885.12""";"=""0.0""";"=""1.0""";"=""0.0""";"=""0.6176""";"=""0.0077""";"=""0.2895""";"=""4.1395""";"=""0.0831""";Значим (Хи-Квадрат OK)
"=""A000030""";Initial digit of n.;[Класс 3] Абсолютный кристаллический тренд, память Lag1=0.9316;Успешно;"=""133.0""";"=""3.97""";"=""2.84""";"=""0.7151""";"=""0.4012""";"=""-1.2732""";"=""6.0""";"=""9.0""";"=""32.0""";"=""2.9602""";"=""0.2276""";"=""1.7106""";"=""0.9316""";"=""0.8624""";"=""0.795""";"=""0.7314""";"=""0.6737""";"=""71280.0""";"=""1.0""";"=""191.81""";"=""8.0""";"=""28.27""";"=""5.0027""";"=""4.37""";"=""84.31""";"=""0.7417""";"=""0.164""";"=""0.0943""";"=""4.27""";"=""0.7071""";"=""-0.0""";"=""0.0""";"=""0.8137""";"=""0.0149""";"=""0.3333""";"=""17.7526""";"=""0.099""";Нетипичный ряд
